,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,0,740,1506,0,0,0,0,0,1260,0,0,0,0,0,0,0,0,340
AAV.100025_22,0,0,772,0,0,0,0,620,100,0,0,0,0,0,360,0,0,80
AAV.100037_50,160,550,0,0,0,550,540,126,0,0,0,0,0,0,0,0,0,0
AAV.100042_29,0,0,200,0,0,0,0,0,0,1670,0,0,0,1280,1100,0,0,160
AAV.100085_4,160,0,0,0,0,460,360,0,0,318,0,0,0,0,820,0,0,0
AAV.100108_57,0,400,4050,0,0,0,3060,0,0,0,0,0,0,0,2700,0,0,50
AAV.100121_51,160,480,1100,0,0,0,1240,0,0,0,0,0,0,0,920,0,0,180
AAV.100129_31,0,0,0,1260,0,0,1500,0,0,0,0,0,0,0,1080,0,0,0
AAV.100145_83,0,0,0,0,0,0,1340,0,730,63,0,0,0,0,0,0,0,0
AAV.100172_36,80,0,540,0,0,460,0,0,0,0,0,0,0,561,540,0,0,0
AAV.100176_9,0,0,640,0,0,0,530,90,180,0,0,0,0,495,0,0,0,0
AAV.100231_16,80,0,126,0,0,0,0,0,630,0,0,0,0,0,540,550,0,0
AAV.100271_10,0,0,340,0,0,1280,0,0,540,0,0,0,0,1440,222,0,0,0
AAV.100277_65,0,0,3080,0,0,0,0,0,0,0,0,0,0,0,592,0,0,0
