,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,0,560,1506,0,0,0,0,0,1300,0,0,0,0,0,0,0,0,480
AAV.100025_22,110,0,762,0,0,0,0,540,130,0,0,0,0,0,280,0,0,110
AAV.100037_50,220,540,0,0,0,520,540,106,0,0,0,0,0,0,0,0,0,0
AAV.100042_29,220,0,480,0,0,0,0,0,0,1330,0,0,0,1340,1040,0,0,0
AAV.100085_4,220,0,0,0,0,410,390,0,0,298,0,0,0,0,800,0,0,0
AAV.100108_57,0,550,3450,0,0,0,3110,0,0,0,0,0,0,0,3150,0,0,0
AAV.100121_51,220,480,1080,0,0,0,1260,0,0,0,0,0,0,0,1040,0,0,0
AAV.100129_31,0,0,0,1300,0,0,1500,0,0,0,0,0,0,0,1040,0,0,0
AAV.100145_83,110,0,0,0,0,0,1300,0,670,53,0,0,0,0,0,0,0,0
AAV.100172_36,220,0,540,0,0,410,0,0,0,0,0,0,0,491,520,0,0,0
AAV.100176_9,0,0,650,0,0,0,500,130,150,0,0,0,0,505,0,0,0,0
AAV.100231_16,110,20,106,0,0,0,0,0,630,0,0,0,0,0,520,540,0,0
AAV.100271_10,0,0,402,0,0,1300,0,0,300,0,0,0,0,1340,480,0,0,0
AAV.100277_65,0,0,3160,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0
