,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,0,960,1440,6,0,0,0,0,1360,0,0,0,0,0,80,0,0,0
AAV.100025_22,0,0,772,0,0,0,0,600,200,0,0,0,0,0,360,0,0,0
AAV.100037_50,40,640,0,0,0,560,520,166,0,0,0,0,0,0,0,0,0,0
AAV.100042_29,0,0,240,0,0,0,0,0,0,1610,0,0,0,1440,1120,0,0,0
AAV.100085_4,0,0,0,0,0,480,400,0,0,358,0,0,0,0,880,0,0,0
AAV.100108_57,0,200,3800,0,0,0,3060,0,0,0,0,0,0,0,2800,0,0,400
AAV.100121_51,80,640,1120,0,0,0,1200,0,0,0,0,0,0,0,960,0,0,80
AAV.100129_31,0,0,0,1200,0,0,1520,0,0,0,0,0,0,0,1120,0,0,0
AAV.100145_83,0,0,0,0,0,0,1440,0,640,53,0,0,0,0,0,0,0,0
AAV.100172_36,0,0,520,0,0,520,0,0,0,0,0,0,0,581,560,0,0,0
AAV.100176_9,0,0,640,0,0,0,480,120,200,0,0,0,0,495,0,0,0,0
AAV.100231_16,40,0,166,0,0,0,0,0,600,0,0,0,0,0,560,560,0,0
AAV.100271_10,80,0,160,0,0,1280,0,0,400,0,0,0,0,1360,382,80,0,80
AAV.100277_65,0,0,3360,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0
