,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,40,280,1486,0,0,0,0,0,1280,0,0,0,0,0,0,0,0,760
AAV.100025_22,0,0,782,0,0,0,0,590,150,0,0,0,10,0,350,0,0,50
AAV.100037_50,10,650,0,0,0,580,290,146,0,0,0,0,0,0,0,0,0,250
AAV.100042_29,0,0,280,0,0,0,0,0,0,1530,0,0,0,1360,1120,0,0,120
AAV.100085_4,0,20,0,0,0,480,340,0,0,348,0,0,0,0,860,0,0,70
AAV.100108_57,150,0,3700,0,0,0,1810,0,0,0,0,0,0,0,2800,50,0,1750
AAV.100121_51,20,600,1140,0,0,0,1220,0,0,0,0,0,0,0,400,0,0,700
AAV.100129_31,0,0,0,1240,0,0,1540,0,0,0,0,0,0,0,400,0,0,660
AAV.100145_83,0,0,0,0,0,0,970,0,720,63,0,0,0,0,0,0,0,380
AAV.100172_36,0,0,530,0,0,500,0,0,0,0,0,0,0,601,550,0,0,0
AAV.100176_9,0,0,640,0,0,0,500,80,90,0,0,0,0,485,0,0,0,140
AAV.100231_16,0,0,186,0,0,0,0,0,580,0,0,0,0,0,200,570,0,390
AAV.100271_10,60,20,300,0,40,1280,0,0,260,0,80,0,0,1360,282,0,0,140
AAV.100277_65,0,0,3200,0,0,0,0,0,0,40,0,0,0,0,372,0,0,60
