,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,0,1080,1546,0,0,0,0,0,1220,0,0,0,0,0,0,0,0,0
AAV.100025_22,0,0,802,0,0,0,0,610,160,0,0,0,0,0,360,0,0,0
AAV.100037_50,0,610,0,0,0,560,630,126,0,0,0,0,0,0,0,0,0,0
AAV.100042_29,0,0,360,0,0,0,0,0,0,1450,0,0,0,1440,1120,0,0,40
AAV.100085_4,0,0,0,0,0,470,360,0,0,318,0,0,0,0,970,0,0,0
AAV.100108_57,0,0,4050,0,0,0,3510,0,0,0,0,0,0,0,2700,0,0,0
AAV.100121_51,0,800,1120,0,0,0,1220,0,0,0,0,0,0,0,940,0,0,0
AAV.100129_31,0,180,0,1220,0,0,1320,0,0,0,0,0,0,0,1120,0,0,0
AAV.100145_83,0,0,0,0,0,0,1370,0,700,63,0,0,0,0,0,0,0,0
AAV.100172_36,70,0,540,0,0,470,0,0,0,0,0,0,0,561,540,0,0,0
AAV.100176_9,0,0,560,0,0,0,520,0,360,0,0,0,0,495,0,0,0,0
AAV.100231_16,0,0,196,0,0,0,0,0,610,0,0,0,0,0,560,560,0,0
AAV.100271_10,0,0,320,0,0,1300,0,0,320,0,0,0,0,1300,582,0,0,0
AAV.100277_65,0,0,3280,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0
