,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,0,960,1500,6,0,0,0,0,1280,0,0,0,0,0,100,0,0,0
AAV.100025_22,0,0,752,0,0,0,0,610,210,0,0,0,0,0,360,0,0,0
AAV.100037_50,0,640,0,0,0,590,540,156,0,0,0,0,0,0,0,0,0,0
AAV.100042_29,0,0,300,0,0,0,0,0,0,1550,0,0,0,1420,1140,0,0,0
AAV.100085_4,0,0,0,0,0,480,420,0,0,348,0,0,0,0,870,0,0,0
AAV.100108_57,0,500,3600,0,0,0,3310,0,0,0,0,0,0,0,2850,0,0,0
AAV.100121_51,0,720,1160,0,0,0,1200,0,0,0,0,0,0,0,840,0,0,160
AAV.100129_31,0,0,0,1240,0,0,1520,0,0,0,0,0,0,0,960,0,0,120
AAV.100145_83,0,0,0,3,0,0,1440,0,630,60,0,0,0,0,0,0,0,0
AAV.100172_36,0,0,550,0,0,500,0,0,0,0,0,0,0,571,560,0,0,0
AAV.100176_9,0,0,630,0,0,0,480,150,180,0,0,0,0,495,0,0,0,0
AAV.100231_16,0,0,186,0,0,0,0,0,590,0,0,0,0,0,510,580,0,60
AAV.100271_10,0,0,362,0,0,1320,0,0,480,0,0,0,0,1360,300,0,0,0
AAV.100277_65,0,0,3220,0,0,0,0,0,0,0,0,0,0,0,452,0,0,0
