,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,100,260,1366,0,0,0,0,0,1180,0,0,0,0,0,0,0,0,940
AAV.100025_22,20,0,772,0,0,0,0,580,130,0,0,0,0,0,350,0,0,80
AAV.100037_50,30,620,0,0,0,590,250,156,0,0,0,0,0,0,0,0,0,280
AAV.100042_29,40,0,140,0,0,0,0,0,0,1430,0,0,0,1380,1120,0,0,300
AAV.100085_4,20,20,0,0,0,470,150,0,0,348,0,0,0,0,890,0,0,220
AAV.100108_57,350,0,3700,0,0,0,1660,0,0,0,0,0,0,0,2650,0,0,1900
AAV.100121_51,20,600,1140,0,0,0,1000,0,0,0,0,0,0,0,240,0,0,1080
AAV.100129_31,0,0,0,1260,0,0,1560,0,0,0,0,0,0,0,240,0,0,780
AAV.100145_83,20,0,0,0,0,0,920,0,700,63,0,0,0,0,0,0,0,430
AAV.100172_36,20,0,470,0,0,500,0,0,0,0,0,0,0,550,560,0,0,81
AAV.100176_9,10,0,640,0,0,0,480,90,10,0,20,0,0,495,0,0,0,190
AAV.100231_16,10,0,186,0,0,0,0,0,560,0,0,0,0,0,120,570,0,480
AAV.100271_10,180,0,280,0,0,1280,0,0,400,0,40,0,0,980,182,0,0,480
AAV.100277_65,60,0,3140,0,0,0,0,0,0,0,0,0,0,0,372,0,0,100
