,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,100,400,1546,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,600
AAV.100025_22,100,0,782,0,0,0,0,600,100,0,0,0,0,0,350,0,0,0
AAV.100037_50,100,600,0,0,0,550,250,126,0,0,0,0,0,0,0,0,0,300
AAV.100042_29,200,0,200,0,0,0,0,0,0,1500,0,0,0,1400,1100,0,10,0
AAV.100085_4,100,0,0,0,0,450,200,0,0,368,0,0,0,0,850,0,0,150
AAV.100108_57,1000,250,3510,0,0,0,1500,0,0,0,0,0,0,0,2500,0,0,1500
AAV.100121_51,100,580,1100,0,0,0,1200,0,0,0,0,0,0,0,300,0,0,800
AAV.100129_31,0,0,0,1300,0,0,1540,0,0,0,0,0,0,0,400,0,0,600
AAV.100145_83,50,0,0,0,0,0,1000,0,700,83,0,0,0,0,0,0,0,300
AAV.100172_36,0,0,550,0,0,500,0,0,0,0,0,0,0,581,550,0,0,0
AAV.100176_9,0,0,600,0,0,0,500,100,50,0,0,0,0,485,0,0,0,200
AAV.100231_16,0,0,176,0,0,0,0,0,600,0,0,0,0,0,150,600,0,400
AAV.100271_10,600,0,200,0,0,1200,0,0,400,0,0,0,0,900,222,0,0,300
AAV.100277_65,0,0,3100,0,0,0,0,0,0,0,0,0,0,0,472,0,0,100
