,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,0,920,1520,0,0,0,0,0,1280,0,0,0,0,20,0,0,0,106
AAV.100025_22,0,0,860,0,0,12,0,600,130,0,0,0,0,0,330,0,0,0
AAV.100037_50,0,640,0,0,0,570,550,166,0,0,0,0,0,0,0,0,0,0
AAV.100042_29,0,0,260,0,0,0,0,0,0,1630,0,0,0,1420,1100,0,0,0
AAV.100085_4,0,10,0,0,0,480,390,0,0,358,0,0,0,0,880,0,0,0
AAV.100108_57,0,650,3750,0,0,0,3000,0,0,0,0,0,0,0,2650,0,0,210
AAV.100121_51,0,660,1180,0,0,0,1220,0,0,0,0,0,0,0,720,0,0,300
AAV.100129_31,0,80,0,1280,0,0,1380,0,0,0,0,0,0,0,800,0,0,300
AAV.100145_83,0,0,0,0,0,0,1270,0,710,93,0,0,0,0,0,0,30,30
AAV.100172_36,0,0,450,0,0,510,0,0,0,0,0,0,0,691,530,0,0,0
AAV.100176_9,0,0,630,0,0,0,510,160,170,0,0,0,0,465,0,0,0,0
AAV.100231_16,0,0,176,0,0,0,0,0,670,0,0,0,0,0,390,560,0,130
AAV.100271_10,0,0,300,0,0,1300,0,0,400,0,62,0,0,1420,340,0,0,0
AAV.100277_65,0,0,3060,0,0,0,0,0,0,0,0,0,0,0,612,0,0,0
