,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,40,280,1500,6,0,0,0,0,1260,0,0,0,0,0,0,0,0,760
AAV.100025_22,0,0,842,0,0,0,0,600,150,0,0,0,0,0,340,0,0,0
AAV.100037_50,10,650,0,0,0,580,290,146,0,0,0,0,0,0,0,0,0,250
AAV.100042_29,0,0,300,0,0,0,0,0,0,1520,0,0,0,1360,1120,0,10,100
AAV.100085_4,0,0,0,0,0,480,340,0,0,348,0,0,0,0,870,0,0,80
AAV.100108_57,150,0,4000,0,0,0,1810,0,0,0,0,0,0,0,2700,0,0,1600
AAV.100121_51,20,600,1140,0,0,0,1220,0,0,0,0,0,0,0,400,0,0,700
AAV.100129_31,0,0,0,1260,0,0,1540,0,0,0,0,0,0,0,400,0,0,640
AAV.100145_83,0,0,0,0,0,0,1080,0,720,63,0,0,0,0,0,0,0,270
AAV.100172_36,0,0,560,0,0,500,0,0,0,0,0,0,0,571,550,0,0,0
AAV.100176_9,0,0,620,0,0,0,490,110,160,0,0,0,0,495,0,0,0,60
AAV.100231_16,0,0,186,0,0,0,0,0,630,0,0,0,0,0,200,580,0,330
AAV.100271_10,60,0,300,0,0,1280,0,0,440,0,0,0,0,1360,382,0,0,0
AAV.100277_65,0,0,3160,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0
