,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,20,920,1300,6,0,0,0,0,1280,0,0,0,0,0,0,0,0,320
AAV.100025_22,10,0,742,0,0,0,0,630,230,0,0,0,0,0,320,0,0,0
AAV.100037_50,30,630,0,0,0,550,550,166,0,0,0,0,0,0,0,0,0,0
AAV.100042_29,0,0,320,0,0,0,0,0,0,1550,0,0,0,1420,1120,0,0,0
AAV.100085_4,20,0,0,0,0,470,400,0,0,358,0,0,0,0,870,0,0,0
AAV.100108_57,50,450,3950,0,0,0,3060,0,0,0,0,0,0,0,2750,0,0,0
AAV.100121_51,20,700,1120,0,0,0,1280,0,0,0,0,0,0,0,640,0,0,320
AAV.100129_31,0,0,0,1280,0,0,1460,0,0,0,0,0,0,0,780,0,0,320
AAV.100145_83,20,0,0,0,0,0,1350,0,710,53,0,0,0,0,0,0,0,0
AAV.100172_36,20,0,560,0,0,470,0,0,0,0,0,0,0,581,550,0,0,0
AAV.100176_9,10,0,640,0,0,0,470,160,160,0,0,0,0,495,0,0,0,0
AAV.100231_16,10,0,166,0,0,0,0,0,640,0,0,0,0,0,390,560,0,160
AAV.100271_10,20,0,160,0,0,1420,0,0,320,0,0,0,0,1420,322,140,0,20
AAV.100277_65,0,0,3180,0,0,0,0,0,0,0,0,0,0,0,492,0,0,0
