,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,40,880,1386,0,0,0,0,0,1320,0,0,0,0,0,220,0,0,0
AAV.100025_22,20,0,722,0,0,0,0,640,220,0,0,0,0,0,330,0,0,0
AAV.100037_50,60,640,0,0,0,530,530,166,0,0,0,0,0,0,0,0,0,0
AAV.100042_29,40,0,260,0,0,0,0,0,0,1500,0,0,0,1500,1100,0,10,0
AAV.100085_4,40,0,0,0,0,420,440,0,0,358,0,0,0,0,860,0,0,0
AAV.100108_57,100,550,3650,0,0,0,3110,0,0,0,0,0,0,0,2750,0,0,100
AAV.100121_51,40,740,1100,0,0,0,1280,0,0,0,0,0,0,0,880,0,0,40
AAV.100129_31,0,0,0,1280,0,0,1460,0,0,0,0,0,0,0,1100,0,0,0
AAV.100145_83,40,0,0,0,0,0,1280,0,770,43,0,0,0,0,0,0,0,0
AAV.100172_36,40,0,530,0,0,530,0,0,0,0,0,0,0,531,550,0,0,0
AAV.100176_9,0,0,640,0,0,0,460,200,130,0,0,0,0,505,0,0,0,0
AAV.100231_16,20,0,166,0,0,0,0,0,640,0,0,0,0,0,550,550,0,0
AAV.100271_10,80,0,220,0,0,1280,0,0,440,0,0,0,0,1320,482,0,0,0
AAV.100277_65,40,0,3440,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0
