,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,280,1020,1466,0,0,0,0,0,1080,0,0,0,0,0,0,0,0,0
AAV.100025_22,0,0,632,0,0,0,0,650,310,0,0,0,0,0,340,0,0,0
AAV.100037_50,280,540,0,0,0,510,540,56,0,0,0,0,0,0,0,0,0,0
AAV.100042_29,280,0,280,0,0,0,0,0,0,1410,0,0,0,1420,1020,0,0,0
AAV.100085_4,280,0,0,0,0,370,370,0,0,248,0,0,0,0,850,0,0,0
AAV.100108_57,0,700,2850,0,0,0,3460,0,0,0,0,0,0,0,2550,0,0,700
AAV.100121_51,0,680,1080,0,0,0,1300,0,0,0,0,0,0,0,1020,0,0,0
AAV.100129_31,0,0,0,1360,0,0,1460,0,0,0,0,0,0,0,1020,0,0,0
AAV.100145_83,0,0,0,0,0,0,1280,0,790,63,0,0,0,0,0,0,0,0
AAV.100172_36,140,0,540,0,0,510,0,0,0,0,0,0,0,481,510,0,0,0
AAV.100176_9,0,0,680,0,0,0,370,170,170,0,0,0,0,545,0,0,0,0
AAV.100231_16,0,0,196,0,0,0,0,0,650,0,0,0,0,0,540,540,0,0
AAV.100271_10,0,0,280,0,0,1360,0,0,400,0,0,0,0,1360,422,0,0,0
AAV.100277_65,0,0,3120,0,0,0,0,0,0,0,0,0,0,0,552,0,0,0
