,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,0,960,1446,0,0,0,0,0,1280,0,0,0,0,0,160,0,0,0
AAV.100025_22,80,0,872,0,0,0,0,560,140,0,0,0,0,0,280,0,0,0
AAV.100037_50,240,620,0,0,0,480,480,106,0,0,0,0,0,0,0,0,0,0
AAV.100042_29,160,0,160,0,0,0,0,0,0,1450,0,0,0,1400,1120,0,0,120
AAV.100085_4,160,0,0,0,0,480,280,0,0,298,0,0,0,0,900,0,0,0
AAV.100108_57,400,0,3100,0,0,0,3960,0,0,0,0,0,0,0,2400,0,0,400
AAV.100121_51,160,440,1120,0,0,0,1400,0,0,0,0,0,0,0,960,0,0,0
AAV.100129_31,0,0,0,1240,0,0,1480,0,0,0,0,0,0,0,1120,0,0,0
AAV.100145_83,80,60,0,0,0,0,1340,0,560,33,0,0,0,0,0,0,0,60
AAV.100172_36,160,0,480,0,0,480,0,0,0,0,0,0,0,501,560,0,0,0
AAV.100176_9,0,0,560,0,0,0,480,80,340,0,0,0,0,475,0,0,0,0
AAV.100231_16,80,0,106,0,0,0,0,0,560,0,0,0,0,0,620,560,0,0
AAV.100271_10,320,0,182,0,0,1240,0,0,400,0,0,0,0,1520,160,0,0,0
AAV.100277_65,0,0,3200,0,0,0,0,0,0,0,0,0,0,0,472,0,0,0
