,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,0,1020,1540,0,0,0,0,0,1280,0,0,0,0,0,0,0,0,6
AAV.100025_22,0,0,880,0,0,12,0,610,100,0,0,0,0,0,330,0,0,0
AAV.100037_50,0,640,0,0,0,590,540,150,0,0,0,0,0,0,0,0,0,6
AAV.100042_29,0,0,400,0,0,0,0,0,0,1490,0,0,0,1380,1140,0,0,0
AAV.100085_4,0,0,0,0,0,480,390,0,0,348,0,0,0,0,900,0,0,0
AAV.100108_57,0,350,3950,0,0,0,3150,0,0,0,0,0,0,0,2750,0,0,60
AAV.100121_51,0,740,1140,0,0,0,1200,0,0,0,0,0,0,0,840,0,0,160
AAV.100129_31,0,0,0,1260,0,0,1520,0,0,0,0,0,0,0,940,0,0,120
AAV.100145_83,0,0,0,0,0,0,1430,0,610,90,0,0,0,0,0,0,0,3
AAV.100172_36,0,0,430,0,0,500,0,0,0,0,0,0,0,731,520,0,0,0
AAV.100176_9,0,0,650,0,0,0,490,90,210,0,0,0,0,495,0,0,0,0
AAV.100231_16,0,0,190,0,0,0,0,0,590,0,0,0,0,0,510,570,0,66
AAV.100271_10,0,0,260,0,0,1260,0,0,480,0,42,0,0,1380,400,0,0,0
AAV.100277_65,0,0,3120,0,0,0,0,0,0,0,0,0,0,0,552,0,0,0
