,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,0,1040,1520,0,0,20,0,0,1260,0,0,0,0,0,0,0,0,6
AAV.100025_22,0,0,850,0,0,10,0,610,130,0,0,0,0,0,330,0,0,2
AAV.100037_50,0,640,0,0,0,590,556,140,0,0,0,0,0,0,0,0,0,0
AAV.100042_29,0,0,280,0,0,0,0,0,0,1630,0,0,0,1380,1120,0,0,0
AAV.100085_4,0,120,0,0,0,480,290,0,0,358,0,0,0,0,870,0,0,0
AAV.100108_57,0,500,3750,0,0,0,3050,0,100,0,0,0,0,200,2600,0,0,60
AAV.100121_51,0,680,1160,0,0,0,1260,0,0,0,0,0,0,0,800,0,0,180
AAV.100129_31,0,0,0,1280,0,0,1480,40,0,0,0,0,0,0,860,0,0,180
AAV.100145_83,0,20,0,0,0,0,1310,0,730,70,0,0,0,0,0,0,0,3
AAV.100172_36,0,0,560,0,0,510,0,0,0,0,0,0,0,571,540,0,0,0
AAV.100176_9,0,0,650,0,0,0,490,140,170,0,0,0,0,480,0,0,0,5
AAV.100231_16,0,0,186,0,0,0,0,0,650,0,0,0,0,0,430,570,0,90
AAV.100271_10,0,0,240,0,0,1280,0,0,442,0,0,0,0,1420,440,0,0,0
AAV.100277_65,0,0,3120,0,0,0,0,0,0,0,0,0,0,0,552,0,0,0
