,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,0,600,1546,0,0,0,0,0,1300,0,0,0,0,0,0,0,0,400
AAV.100025_22,0,0,832,0,0,0,0,600,150,0,0,0,0,0,350,0,0,0
AAV.100037_50,0,600,0,0,0,600,550,126,0,0,50,0,0,0,0,0,0,0
AAV.100042_29,0,0,400,0,0,0,0,0,0,1510,0,0,0,1300,1200,0,0,0
AAV.100085_4,50,0,0,0,0,450,400,0,0,368,0,0,0,0,850,0,0,0
AAV.100108_57,0,500,3750,0,0,0,3010,0,250,0,0,0,0,0,2750,0,0,0
AAV.100121_51,0,680,1200,0,0,0,1200,0,0,0,0,0,0,0,1000,0,0,0
AAV.100129_31,0,0,0,1300,0,0,1540,0,0,0,0,0,0,0,1000,0,0,0
AAV.100145_83,0,0,0,0,0,0,1350,0,650,83,0,0,0,0,0,0,0,50
AAV.100172_36,0,0,500,0,0,500,0,0,0,0,0,0,0,631,550,0,0,0
AAV.100176_9,0,0,600,0,0,0,500,200,100,0,0,0,0,485,0,0,0,50
AAV.100231_16,0,0,176,0,0,0,0,0,700,0,0,0,0,0,500,550,0,0
AAV.100271_10,0,0,300,100,0,1200,0,0,400,0,0,0,0,1300,400,0,0,122
AAV.100277_65,0,0,3200,0,0,0,0,0,0,0,0,0,0,0,472,0,0,0
