AAV.100176_9/ORF/62-1996/1935/+_10001	NC_001401.2	AS:i:-12
AAV.100176_9/ORF/62-1996/1935/+_10002	NC_001401.2	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10002	DQ813647.1	AS:i:-88
AAV.100176_9/ORF/62-1996/1935/+_10003	NC_001401.2	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10003	ENA|AAS99264|AAS99264.1	AS:i:-102
AAV.100176_9/ORF/62-1996/1935/+_10004	NC_001401.2	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10004	ENA|AAS99264|AAS99264.1	AS:i:-108
AAV.100176_9/ORF/62-1996/1935/+_10005	NC_001401.2	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10005	ENA|AAS99264|AAS99264.1	AS:i:-120
AAV.100176_9/ORF/62-1996/1935/+_10006	NC_001401.2	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10007	NC_001401.2	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10008	NC_001401.2	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10009	NC_001401.2	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10010	NC_001401.2	AS:i:-14
AAV.100176_9/ORF/62-1996/1935/+_10011	NC_001401.2	AS:i:-14
AAV.100176_9/ORF/62-1996/1935/+_10011	AY242997.1	AS:i:-74
AAV.100176_9/ORF/62-1996/1935/+_10011	ENA|AAN03857|AAN03857.1	AS:i:-74
AAV.100176_9/ORF/62-1996/1935/+_10011	ENA|AAT46337|AAT46337.1	AS:i:-98
AAV.100176_9/ORF/62-1996/1935/+_10011	NC_002077.1	AS:i:-116
AAV.100176_9/ORF/62-1996/1935/+_10011	AY243015.1	AS:i:-116
AAV.100176_9/ORF/62-1996/1935/+_10011	ENA|AF028704|AF028704.1	AS:i:-116
AAV.100176_9/ORF/62-1996/1935/+_10011	ENA|AF513851|AF513851.1	AS:i:-116
AAV.100176_9/ORF/62-1996/1935/+_10012	ENA|AAN03857|AAN03857.1	AS:i:-32
AAV.100176_9/ORF/62-1996/1935/+_10012	ENA|AAT46337|AAT46337.1	AS:i:-56
AAV.100176_9/ORF/62-1996/1935/+_10012	AY242997.1	AS:i:-62
AAV.100176_9/ORF/62-1996/1935/+_10012	AY243015.1	AS:i:-68
AAV.100176_9/ORF/62-1996/1935/+_10012	NC_001401.2	AS:i:-83
AAV.100176_9/ORF/62-1996/1935/+_10012	ENA|AF513851|AF513851.1	AS:i:-115
AAV.100176_9/ORF/62-1996/1935/+_10012	ENA|AF028704|AF028704.1	AS:i:-117
AAV.100176_9/ORF/62-1996/1935/+_10012	NC_002077.1	AS:i:-117
AAV.100176_9/ORF/62-1996/1935/+_10013	ENA|AAN03857|AAN03857.1	AS:i:-22
AAV.100176_9/ORF/62-1996/1935/+_10013	ENA|AAT46337|AAT46337.1	AS:i:-46
AAV.100176_9/ORF/62-1996/1935/+_10013	AY243015.1	AS:i:-52
AAV.100176_9/ORF/62-1996/1935/+_10013	AY242997.1	AS:i:-64
AAV.100176_9/ORF/62-1996/1935/+_10013	ENA|AF513851|AF513851.1	AS:i:-99
AAV.100176_9/ORF/62-1996/1935/+_10013	ENA|AAS99264|AAS99264.1	AS:i:-106
AAV.100176_9/ORF/62-1996/1935/+_10014	ENA|AAN03857|AAN03857.1	AS:i:-14
AAV.100176_9/ORF/62-1996/1935/+_10014	ENA|AAT46337|AAT46337.1	AS:i:-26
AAV.100176_9/ORF/62-1996/1935/+_10014	AY243015.1	AS:i:-32
AAV.100176_9/ORF/62-1996/1935/+_10014	AY242997.1	AS:i:-68
AAV.100176_9/ORF/62-1996/1935/+_10014	ENA|AAS99264|AAS99264.1	AS:i:-74
AAV.100176_9/ORF/62-1996/1935/+_10014	ENA|AF513851|AF513851.1	AS:i:-79
AAV.100176_9/ORF/62-1996/1935/+_10014	EU285562.1	AS:i:-107
AAV.100176_9/ORF/62-1996/1935/+_10014	ENA|AF028704|AF028704.1	AS:i:-117
AAV.100176_9/ORF/62-1996/1935/+_10014	ENA|U48704|U48704.1	AS:i:-119
AAV.100176_9/ORF/62-1996/1935/+_10015	ENA|AAN03857|AAN03857.1	AS:i:-44
AAV.100176_9/ORF/62-1996/1935/+_10015	AY243015.1	AS:i:-62
AAV.100176_9/ORF/62-1996/1935/+_10015	ENA|AAT46337|AAT46337.1	AS:i:-66
AAV.100176_9/ORF/62-1996/1935/+_10015	ENA|AF513851|AF513851.1	AS:i:-73
AAV.100176_9/ORF/62-1996/1935/+_10015	AY242997.1	AS:i:-120
AAV.100176_9/ORF/62-1996/1935/+_10016	ENA|AF513851|AF513851.1	AS:i:-6
AAV.100176_9/ORF/62-1996/1935/+_10016	AY243015.1	AS:i:-90
AAV.100176_9/ORF/62-1996/1935/+_10016	ENA|AAN03857|AAN03857.1	AS:i:-90
AAV.100176_9/ORF/62-1996/1935/+_10016	ENA|AF028704|AF028704.1	AS:i:-96
AAV.100176_9/ORF/62-1996/1935/+_10016	ENA|AAT46337|AAT46337.1	AS:i:-100
AAV.100176_9/ORF/62-1996/1935/+_10017	ENA|AF513851|AF513851.1	AS:i:-38
AAV.100176_9/ORF/62-1996/1935/+_10017	ENA|AF028704|AF028704.1	AS:i:-74
AAV.100176_9/ORF/62-1996/1935/+_10018	ENA|AF513851|AF513851.1	AS:i:-44
AAV.100176_9/ORF/62-1996/1935/+_10018	ENA|AF028704|AF028704.1	AS:i:-68
AAV.100176_9/ORF/62-1996/1935/+_10018	NC_002077.1	AS:i:-92
AAV.100176_9/ORF/62-1996/1935/+_10019	ENA|AF028704|AF028704.1	AS:i:-26
AAV.100176_9/ORF/62-1996/1935/+_10019	NC_002077.1	AS:i:-56
AAV.100176_9/ORF/62-1996/1935/+_10019	ENA|AF513851|AF513851.1	AS:i:-68
AAV.100176_9/ORF/62-1996/1935/+_10020	ENA|AF028704|AF028704.1	AS:i:-8
AAV.100176_9/ORF/62-1996/1935/+_10020	NC_002077.1	AS:i:-62
AAV.100176_9/ORF/62-1996/1935/+_10021	ENA|AF028704|AF028704.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10021	NC_002077.1	AS:i:-60
AAV.100176_9/ORF/62-1996/1935/+_10021	ENA|AF513851|AF513851.1	AS:i:-120
AAV.100176_9/ORF/62-1996/1935/+_10022	ENA|AF028704|AF028704.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10022	NC_002077.1	AS:i:-60
AAV.100176_9/ORF/62-1996/1935/+_10023	ENA|AF028704|AF028704.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10023	NC_002077.1	AS:i:-60
AAV.100176_9/ORF/62-1996/1935/+_10024	ENA|AF028704|AF028704.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10024	NC_002077.1	AS:i:-36
AAV.100176_9/ORF/62-1996/1935/+_10025	ENA|AF028704|AF028704.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10025	NC_002077.1	AS:i:-24
AAV.100176_9/ORF/62-1996/1935/+_10026	ENA|AF028704|AF028704.1	AS:i:-6
AAV.100176_9/ORF/62-1996/1935/+_10026	NC_002077.1	AS:i:-36
AAV.100176_9/ORF/62-1996/1935/+_10027	ENA|AF028704|AF028704.1	AS:i:-90
AAV.100176_9/ORF/62-1996/1935/+_10027	NC_002077.1	AS:i:-108
AAV.100176_9/ORF/62-1996/1935/+_10029	EU285562.1	AS:i:-63
AAV.100176_9/ORF/62-1996/1935/+_10030	EU285562.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10031	EU285562.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10032	EU285562.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10033	EU285562.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10034	EU285562.1	AS:i:0
AAV.100176_9/ORF/62-1996/1935/+_10035	EU285562.1	AS:i:-8
AAV.100176_9/ORF/62-1996/1935/+_10036	EU285562.1	AS:i:-8
AAV.100176_9/ORF/62-1996/1935/+_10037	EU285562.1	AS:i:-8
AAV.100176_9/ORF/62-1996/1935/+_10038	EU285562.1	AS:i:-8
AAV.100176_9/ORF/62-1996/1935/+_10039	EU285562.1	AS:i:0
