,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,0,1040,1386,0,0,0,0,0,1300,0,0,0,0,120,0,0,0,0
AAV.100025_22,60,0,822,0,0,0,0,590,200,0,0,0,0,0,260,0,0,0
AAV.100037_50,180,590,0,0,0,590,460,106,0,0,0,0,0,0,0,0,0,0
AAV.100042_29,120,0,260,0,0,0,0,0,0,1410,0,0,0,1440,1180,0,0,0
AAV.100085_4,120,0,0,0,0,460,390,0,0,298,0,0,0,0,850,0,0,0
AAV.100108_57,300,300,3600,0,0,0,3110,0,0,0,0,0,0,0,2600,0,0,350
AAV.100121_51,120,440,1180,0,0,0,1160,0,0,0,0,0,0,0,920,0,0,260
AAV.100129_31,0,0,0,1300,0,0,1500,0,0,0,0,0,0,0,1040,0,0,0
AAV.100145_83,60,0,0,0,0,0,1370,0,650,53,0,0,0,0,0,0,0,0
AAV.100172_36,120,0,520,0,0,460,0,0,0,0,0,0,0,491,590,0,0,0
AAV.100176_9,0,0,650,0,0,0,450,200,130,0,0,0,0,505,0,0,0,0
AAV.100231_16,0,0,166,0,0,0,0,0,580,0,0,0,0,0,590,590,0,0
AAV.100271_10,0,0,302,0,0,1440,0,0,380,0,0,0,0,1300,400,0,0,0
AAV.100277_65,0,0,3260,0,0,0,0,0,0,0,0,0,0,0,412,0,0,0
