,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,0,1020,1540,0,0,20,0,0,1260,0,0,0,0,0,0,0,0,6
AAV.100025_22,0,0,880,0,0,10,0,600,120,0,0,0,0,0,320,0,0,2
AAV.100037_50,0,640,0,0,0,590,556,140,0,0,0,0,0,0,0,0,0,0
AAV.100042_29,0,0,420,0,0,0,0,0,0,1470,0,0,0,1380,1140,0,0,0
AAV.100085_4,0,70,0,0,0,480,320,0,0,358,0,0,0,0,890,0,0,0
AAV.100108_57,0,300,3950,0,0,0,3250,0,0,0,0,0,0,0,2700,0,0,60
AAV.100121_51,0,740,1160,0,0,0,1200,0,0,0,0,0,0,0,880,0,0,100
AAV.100129_31,0,0,0,1260,0,0,1500,40,0,0,0,0,0,0,960,0,0,80
AAV.100145_83,0,0,0,0,0,0,1420,0,620,90,0,0,0,0,0,0,0,3
AAV.100172_36,0,0,550,0,0,510,0,0,0,0,0,0,0,581,540,0,0,0
AAV.100176_9,0,0,630,0,0,0,490,130,200,0,0,0,0,480,0,0,0,5
AAV.100231_16,0,0,180,0,0,0,0,0,600,0,0,0,0,0,530,570,0,46
AAV.100271_10,0,0,180,0,0,1280,0,0,462,0,40,0,0,1420,440,0,0,0
AAV.100277_65,0,0,3240,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0
