,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,0,700,1546,0,0,0,0,0,1300,0,0,0,0,0,0,0,0,300
AAV.100025_22,0,0,832,0,0,0,0,600,150,0,0,0,0,0,350,0,0,0
AAV.100037_50,100,600,0,0,0,550,550,126,0,0,0,0,0,0,0,0,0,0
AAV.100042_29,0,0,300,0,0,0,0,0,0,1510,0,0,0,1400,1200,0,0,0
AAV.100085_4,100,0,0,0,0,450,450,0,0,318,0,0,0,0,800,0,0,0
AAV.100108_57,0,250,3750,0,0,0,3260,0,0,0,0,0,0,250,2750,0,0,0
AAV.100121_51,100,580,1200,0,0,0,1200,0,0,0,0,0,0,0,1000,0,0,0
AAV.100129_31,0,100,0,1300,0,0,1400,0,0,0,0,0,0,0,1000,0,0,40
AAV.100145_83,50,0,0,0,0,0,1400,0,650,33,0,0,0,0,0,0,0,0
AAV.100172_36,100,0,550,0,0,450,0,0,0,0,0,0,0,581,500,0,0,0
AAV.100176_9,0,0,600,0,0,0,500,150,150,0,50,0,0,485,0,0,0,0
AAV.100231_16,50,0,126,0,0,0,0,0,650,0,0,0,0,0,500,600,0,0
AAV.100271_10,100,0,400,0,0,1200,0,0,400,0,0,0,0,1400,322,0,0,0
AAV.100277_65,0,0,3100,0,0,0,0,0,0,0,0,0,0,100,472,0,0,0
