,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,0,760,1520,6,0,0,0,0,1280,0,0,0,0,0,0,0,0,280
AAV.100025_22,0,0,840,0,0,0,0,600,150,0,0,0,2,0,340,0,0,0
AAV.100037_50,0,640,0,0,0,590,540,156,0,0,0,0,0,0,0,0,0,0
AAV.100042_29,0,0,340,0,0,0,0,0,0,1590,0,0,0,1360,1120,0,0,0
AAV.100085_4,0,0,0,0,0,480,410,0,0,348,0,0,0,0,870,0,0,10
AAV.100108_57,0,600,3910,0,0,0,3050,0,0,0,0,0,0,0,2700,0,0,0
AAV.100121_51,0,600,1160,0,0,0,1300,0,0,0,0,0,0,0,740,0,0,280
AAV.100129_31,0,0,0,1260,0,0,1520,0,0,0,0,0,0,0,780,0,0,280
AAV.100145_83,0,0,0,0,0,0,1360,0,710,63,0,0,0,0,0,0,0,0
AAV.100172_36,0,0,560,0,0,500,0,0,0,0,0,0,0,571,550,0,0,0
AAV.100176_9,0,0,640,0,0,0,490,140,170,0,0,0,0,495,0,0,0,0
AAV.100231_16,0,0,186,0,0,0,0,0,640,0,0,0,0,0,390,570,0,140
AAV.100271_10,0,0,320,0,0,1280,0,0,440,0,0,0,0,1360,362,40,0,20
AAV.100277_65,0,0,3180,0,0,0,0,0,0,0,0,0,0,0,492,0,0,0
