,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,20,780,1306,0,0,0,0,0,1280,0,0,0,0,0,0,0,0,460
AAV.100025_22,10,0,882,0,0,0,0,560,160,0,0,0,0,0,320,0,0,0
AAV.100037_50,30,630,0,0,0,550,550,96,0,0,70,0,0,0,0,0,0,0
AAV.100042_29,0,0,320,0,0,0,0,0,0,1550,0,0,0,1420,1120,0,0,0
AAV.100085_4,20,0,0,0,0,470,470,0,0,358,0,0,0,0,800,0,0,0
AAV.100108_57,50,800,3600,0,0,0,3060,0,0,0,0,0,0,0,2750,0,0,0
AAV.100121_51,20,700,1120,0,0,0,1280,0,0,0,0,0,0,0,640,0,0,320
AAV.100129_31,0,0,0,1280,0,0,1460,0,0,0,0,0,0,0,780,0,0,320
AAV.100145_83,20,0,0,0,0,0,1420,0,640,53,0,0,0,0,0,0,0,0
AAV.100172_36,20,0,490,0,0,470,0,0,0,0,0,0,0,651,550,0,0,0
AAV.100176_9,10,0,640,0,0,0,470,160,90,0,0,0,0,495,0,0,0,70
AAV.100231_16,10,0,166,0,0,0,0,0,640,0,0,0,0,0,320,560,0,230
AAV.100271_10,20,0,160,0,0,1420,0,0,200,0,0,0,0,1420,462,140,0,0
AAV.100277_65,0,0,2900,0,0,0,0,0,140,0,0,0,0,140,492,0,0,0
