,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,0,840,1500,6,0,0,0,0,1320,0,0,0,0,0,0,0,0,180
AAV.100025_22,0,0,792,0,0,0,0,600,180,0,0,0,0,0,360,0,0,0
AAV.100037_50,30,630,0,0,0,570,540,156,0,0,0,0,0,0,0,0,0,0
AAV.100042_29,0,0,360,0,0,0,0,0,0,1590,0,0,0,1380,1080,0,0,0
AAV.100085_4,0,0,0,0,0,480,420,0,0,348,0,0,0,0,870,0,0,0
AAV.100108_57,0,600,3600,0,0,0,3060,0,0,0,0,0,0,0,3000,0,0,0
AAV.100121_51,0,600,1140,0,0,0,1260,0,0,0,0,0,0,0,780,0,0,300
AAV.100129_31,0,0,0,1200,0,0,1560,0,0,0,0,0,0,0,840,0,0,240
AAV.100145_83,0,0,0,0,0,0,1350,0,720,63,0,0,0,0,0,0,0,0
AAV.100172_36,30,0,540,0,0,510,0,0,0,0,0,0,0,561,540,0,0,0
AAV.100176_9,0,0,630,0,0,0,480,120,210,0,0,0,0,495,0,0,0,0
AAV.100231_16,0,0,186,0,0,0,0,0,600,0,0,0,0,0,450,570,0,120
AAV.100271_10,60,0,300,0,0,1260,0,0,480,0,0,0,0,1380,342,0,0,0
AAV.100277_65,0,0,3180,0,0,0,0,0,0,0,0,0,0,0,492,0,0,0
