,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,100,260,1460,6,0,0,0,0,1180,0,0,0,0,0,0,0,0,840
AAV.100025_22,20,0,822,0,0,0,0,580,130,0,0,0,0,0,350,0,0,30
AAV.100037_50,30,620,0,0,0,590,250,156,0,0,0,0,0,0,0,0,0,280
AAV.100042_29,40,0,240,0,0,0,0,0,0,1470,0,0,0,1380,1120,0,0,160
AAV.100085_4,20,0,0,0,0,470,250,0,0,348,0,0,0,0,870,0,0,160
AAV.100108_57,350,0,3950,0,0,0,1660,0,0,0,0,0,0,0,2650,0,0,1650
AAV.100121_51,20,600,1140,0,0,0,1040,0,0,0,0,0,0,0,320,0,0,960
AAV.100129_31,0,0,0,1260,0,0,1560,0,0,0,0,0,0,0,320,0,0,700
AAV.100145_83,20,0,0,3,0,0,970,0,700,60,0,0,0,0,0,0,0,380
AAV.100172_36,20,0,540,0,0,500,0,0,0,0,0,0,0,530,560,0,0,31
AAV.100176_9,10,0,620,0,0,0,480,110,80,0,0,0,0,495,0,0,0,140
AAV.100231_16,10,0,186,0,0,0,0,0,560,0,0,0,0,0,160,570,0,440
AAV.100271_10,180,0,280,0,0,1280,0,0,400,0,0,0,0,980,362,0,0,340
AAV.100277_65,60,0,3140,0,0,0,0,0,0,0,0,0,0,0,472,0,0,0
