,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,0,800,1446,0,0,0,0,0,1200,0,0,0,0,0,400,0,0,0
AAV.100025_22,200,0,732,0,0,0,0,600,200,0,0,0,0,0,200,0,0,0
AAV.100037_50,400,600,0,0,0,400,400,126,0,0,0,0,0,0,0,0,0,0
AAV.100042_29,0,0,400,0,0,0,0,0,0,1600,0,0,0,1200,1200,0,10,0
AAV.100085_4,200,0,0,0,0,400,200,0,0,318,0,0,0,0,1000,0,0,0
AAV.100108_57,1000,0,4000,0,0,0,3260,0,0,0,0,0,0,0,2000,0,0,0
AAV.100121_51,400,880,800,0,0,0,1200,0,0,0,0,0,0,0,800,0,0,0
AAV.100129_31,0,0,0,1200,0,0,1440,0,0,0,0,0,0,0,1200,0,0,0
AAV.100145_83,333,0,0,0,0,0,1200,0,600,0,0,0,0,0,0,0,0,0
AAV.100172_36,200,0,400,0,0,400,0,0,0,0,0,0,0,581,600,0,0,0
AAV.100176_9,0,0,600,0,0,0,400,200,200,0,0,0,0,535,0,0,0,0
AAV.100231_16,200,0,126,0,0,0,0,0,600,0,0,0,0,0,600,400,0,0
AAV.100271_10,400,0,222,0,0,1200,0,0,0,0,0,0,0,1200,400,0,0,400
AAV.100277_65,400,0,2800,0,0,0,0,0,0,0,0,0,0,0,472,0,0,0
