,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,0,720,1486,0,0,0,0,0,1320,0,0,0,0,0,0,0,0,320
AAV.100025_22,0,0,852,0,0,0,0,600,160,0,0,0,0,0,320,0,0,0
AAV.100037_50,0,660,0,0,0,580,540,146,0,0,0,0,0,0,0,0,0,0
AAV.100042_29,0,0,280,0,0,0,0,0,0,1610,40,0,0,1360,1120,0,0,0
AAV.100085_4,0,0,0,0,0,480,400,0,0,358,0,0,0,0,860,0,0,20
AAV.100108_57,0,600,4000,0,0,0,2860,0,0,0,0,0,0,0,2700,0,0,100
AAV.100121_51,0,600,1160,0,0,0,1280,0,0,0,0,0,0,0,720,0,0,320
AAV.100129_31,0,0,0,1240,0,0,1560,0,0,0,0,0,0,0,760,0,0,280
AAV.100145_83,0,20,0,0,0,0,1320,0,700,53,0,0,0,0,0,0,0,40
AAV.100172_36,0,0,540,0,0,500,0,0,0,0,0,0,0,561,580,0,0,0
AAV.100176_9,0,0,640,0,0,0,500,160,140,0,0,0,0,495,0,0,0,0
AAV.100231_16,0,0,186,0,0,0,0,0,640,0,0,0,0,0,400,560,0,140
AAV.100271_10,0,0,280,0,0,1280,0,0,422,0,200,0,0,1320,320,0,0,0
AAV.100277_65,0,0,3000,0,0,0,0,0,0,80,0,0,0,160,432,0,0,0
