,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,0,800,1440,0,0,0,0,0,1280,0,0,0,0,0,0,160,0,166
AAV.100025_22,0,0,800,0,0,12,0,600,160,0,0,0,0,0,360,0,0,0
AAV.100037_50,80,600,0,0,0,560,560,126,0,0,0,0,0,0,0,0,0,0
AAV.100042_29,80,0,480,0,0,0,0,0,0,1370,0,0,0,1360,1120,0,0,0
AAV.100085_4,80,0,0,0,0,440,360,0,0,318,0,0,0,0,920,0,0,0
AAV.100108_57,200,200,3400,0,0,0,3400,0,0,0,0,0,0,0,2800,0,0,260
AAV.100121_51,80,640,1200,0,0,0,1200,0,0,0,0,0,0,0,960,0,0,0
AAV.100129_31,0,160,0,1360,0,0,1360,0,0,0,0,0,0,0,800,160,0,0
AAV.100145_83,40,0,0,0,0,0,1240,0,680,93,0,0,0,0,0,0,0,80
AAV.100172_36,120,0,560,0,0,440,0,0,0,0,0,0,0,501,560,0,0,0
AAV.100176_9,0,0,680,0,0,0,480,40,240,0,0,0,0,495,0,0,0,0
AAV.100231_16,40,0,126,0,0,0,0,0,600,0,0,0,0,0,560,600,0,0
AAV.100271_10,160,0,222,0,0,1360,0,0,400,0,0,0,0,1200,480,0,0,0
AAV.100277_65,0,0,3120,0,0,0,0,0,0,0,0,0,0,0,552,0,0,0
