,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,0,420,1500,6,0,0,0,0,1300,0,0,0,0,0,0,0,0,620
AAV.100025_22,0,0,840,0,0,0,0,600,150,0,0,0,2,0,340,0,0,0
AAV.100037_50,0,640,0,0,0,590,300,156,0,0,0,0,0,0,0,0,0,240
AAV.100042_29,0,0,300,0,0,0,0,0,0,1510,0,0,0,1360,1140,0,0,100
AAV.100085_4,0,0,0,0,0,480,350,0,0,358,0,0,0,0,880,0,0,50
AAV.100108_57,100,400,4010,0,0,0,1850,0,0,0,0,0,0,0,2700,0,0,1200
AAV.100121_51,20,600,1140,0,0,0,1240,0,0,0,0,0,0,0,520,0,0,560
AAV.100129_31,0,0,0,1280,0,0,1540,0,0,0,0,0,0,0,500,0,0,520
AAV.100145_83,0,0,0,3,0,0,1100,0,730,60,0,0,0,0,0,0,0,240
AAV.100172_36,0,0,560,0,0,500,0,0,0,0,0,0,0,571,550,0,0,0
AAV.100176_9,0,0,620,0,0,0,490,160,170,0,0,0,0,495,0,0,0,0
AAV.100231_16,0,0,186,0,0,0,0,0,630,0,0,0,0,0,270,580,0,260
AAV.100271_10,0,0,300,0,0,1280,0,0,500,0,0,0,0,1360,382,0,0,0
AAV.100277_65,0,0,3140,0,0,0,0,0,0,0,0,0,0,0,532,0,0,0
