,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,140,440,1286,0,0,0,0,0,1320,0,0,0,0,0,140,0,0,520
AAV.100025_22,70,0,762,0,0,0,0,550,220,0,0,0,0,0,330,0,0,0
AAV.100037_50,70,540,0,0,0,590,560,166,0,0,0,0,0,0,0,0,0,0
AAV.100042_29,140,0,440,0,0,0,0,0,0,1410,0,0,0,1320,1100,0,0,0
AAV.100085_4,70,0,0,0,0,480,330,0,0,358,0,0,0,0,880,0,0,0
AAV.100108_57,0,550,3850,0,0,0,2760,0,0,0,0,0,0,0,2750,0,0,350
AAV.100121_51,140,560,1100,0,0,0,1180,0,0,0,0,0,0,0,880,0,0,220
AAV.100129_31,0,80,0,1180,0,0,1480,0,0,0,0,0,0,0,1100,0,0,0
AAV.100145_83,70,40,0,0,0,0,1170,0,620,43,0,0,0,0,0,0,0,190
AAV.100172_36,140,0,480,0,0,480,0,0,0,0,0,0,0,531,550,0,0,0
AAV.100176_9,0,0,700,0,0,0,440,180,110,0,0,0,0,505,0,0,0,0
AAV.100231_16,70,0,166,0,0,0,0,0,590,0,0,0,0,0,550,550,0,0
AAV.100271_10,280,0,220,0,0,1180,0,0,300,0,0,0,0,1320,522,0,0,0
AAV.100277_65,140,0,3160,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0
