,no alignment,AAV1,AAV2,AAV3,AAV4,AAV5,AAV6,AAV7,AAV8,AAV9,AAV10,AAV11,AAV12,AAV13,AAVrh8,AAVrh10,AAVrh32,multiple alignment
AAV.100015_1,0,720,1506,0,0,0,0,0,1260,0,0,0,0,0,0,0,0,360
AAV.100025_22,0,0,762,0,0,0,0,620,180,0,0,0,0,0,370,0,0,0
AAV.100037_50,160,550,0,0,0,550,540,126,0,0,0,0,0,0,0,0,0,0
AAV.100042_29,0,0,180,0,0,0,0,0,0,1690,0,0,0,1280,1100,0,0,160
AAV.100085_4,160,0,0,0,0,460,360,0,0,318,0,0,0,0,820,0,0,0
AAV.100108_57,0,400,4050,0,0,0,3060,0,0,0,0,0,0,0,2750,0,0,0
AAV.100121_51,160,480,1100,0,0,0,1240,0,0,0,0,0,0,0,920,0,0,180
AAV.100129_31,0,0,0,1260,0,0,1500,0,0,0,0,0,0,0,1080,0,0,0
AAV.100145_83,0,0,0,0,0,0,1260,0,720,63,0,0,0,0,0,0,0,90
AAV.100172_36,80,0,540,0,0,460,0,0,0,0,0,0,0,540,540,0,0,21
AAV.100176_9,0,0,630,0,0,0,530,100,180,0,0,0,0,495,0,0,0,0
AAV.100231_16,80,0,126,0,0,0,0,0,640,0,0,0,0,0,540,540,0,0
AAV.100271_10,0,0,340,0,0,1280,0,0,500,0,0,0,0,1440,242,20,0,0
AAV.100277_65,0,0,3100,0,0,0,0,0,0,0,0,0,0,0,572,0,0,0
